Código;Twitter;Nome;Link_Wikipedia (Deputado);Partido;Link_Wikipedia (Partido);Coligação;Votos nominais;Nota;Estado
191;@Flordelismk;Flordelis;Flordelis;PSD;PSD;PSD;196.959;;RIO DE JANEIRO
192;@franciscojr_go;Francisco Júnior;Francisco Júnior;PSD;PSD;PSDB / PL / PSB / Cidadania / Solidariedade / PTB / PSD;107.089;;GOIÁS
193;@FrancoCartafina;Franco Cartafina;Franco Cartafina;PP;PP;PHS / PRP;53.378;Eleito pelo PHS;MINAS GERAIS
194;@FredCosta5133;Fred Costa;Fred Costa;Patriota;Patriota;Patriota / PTC / PMB;84.562;;MINAS GERAIS
195;@freianastaciopt;Frei Anastácio Ribeiro;Frei Anastácio Ribeiro;PT;PT;PSB / PTB / Republicanos / PT / DEM / PDT / PCdoB / PODE;91.408;;PARAÍBA
196;@GelsonAzevedoRJ;Gelson Azevedo;Gelson Azevedo;PL;PL;PHS;28.216;Eleito pelo PHS;RIO DE JANEIRO
197;@DepGenecias;Genecias Noronha;Genecias Noronha;Solidariedade;Solidariedade;MDB / PHS / Avante / Solidariedade / PSC / PSD / PODE / Republicanos;113.261;;CEARÁ
198;@GeneralGirao;General Girão;General Girão;PSL;PSL;Solidariedade / PSL / DC / PV / PSC;81.640;Suspenso por 1 ano de atividade partidária;RIO GRANDE DO NORTE
199;@GenPeternelli;General Peternelli;General Peternelli;PSL;PSL;PSL;74.190;;SÃO PAULO
200;@geninhozuliani;Geninho Zuliani;Geninho Zuliani;DEM;DEM;PSDB / PSD / DEM / PP;89.378;;SÃO PAULO
201;@geovaniadesa;Geovania de Sá;Geovania de Sá;PSDB;PSDB;PSDB / Cidadania / PTB / DC;101.937;;SANTA CATARINA
202;@gervasiomaia;Gervásio Maia;Gervásio Maia;PSB;PSB;PSB / PTB / Republicanos / PT / DEM / PDT / PCdoB / PODE;146.860;;PARAÍBA
203;@gilcutrim;Gil Cutrim;Gil Cutrim;PDT;PDT;Patriota / PDT / PP / PL;71.626;;MARANHÃO
204;@gilbertoabramo;Gilberto Abramo;Gilberto Abramo;Republicanos;Republicanos;PDT / PV / Republicanos / MDB;161.221;;MINAS GERAIS
205;@GilbertoPSC20;Gilberto Nascimento;Gilberto Nascimento;PSC;PSC;PSB / PSC / Cidadania / PTB;91.797;;SÃO PAULO
206;@DGildenemyr;Gildenemyr;Gildenemyr;PL;PL;PHS / PMN;47.635;Eleito pelo PMN;MARANHÃO
207;@gilsonmarques30;Gilson Marques;Gilson Marques;NOVO;NOVO;NOVO;27.443;;SANTA CATARINA
208;@giovanicherini;Giovani Cherini;Giovani Cherini;PL;PL;PSB / PL / Patriota;151.719;;RIO GRANDE DO SUL
209;@GiovaniFeltes;Giovani Feltes;Giovani Feltes;MDB;MDB;MDB;93.088;;RIO GRANDE DO SUL
210;@Glauber_Braga;Glauber Braga;Glauber Braga;PSOL;PSOL;PSOL / PCB;40.199;;RIO DE JANEIRO
211;@glaustinfokus;Glaustin Fokus;Glaustin Fokus;PSC;PSC;DEM / PROS / PRP / PDT / PSC / PODE;95.202;;GOIÁS
212;@gleisi;Gleisi Hoffmann;Gleisi Hoffmann;PT;PT;PT;212.513;;PARANÁ
213;–;Gonzaga Patriota;Gonzaga Patriota;PSB;PSB;PSB / PCdoB / MDB / PSD;80.498;;PERNAMBUCO
214;@greyceelias;Greyce Elias;Greyce Elias;Avante;Avante;Avante;37.501;;MINAS GERAIS
215;@zeguilherme_10;Guiga Peixoto;Guiga Peixoto;PSL;PSL;PSL;31.718;;SÃO PAULO
216;@capitaoderrite;Guilherme Derrite;Guilherme Derrite;PP;PP;PSDB / PSD / DEM / PP;119.034;;SÃO PAULO
217;@GuilhermeMussi;Guilherme Mussi;Guilherme Mussi;PP;PP;PSDB / PSD / DEM / PP;134.301;;SÃO PAULO
218;@GurgelSoares;Gurgel;Gurgel;PSL;PSL;PSL;62.089;;RIO DE JANEIRO
219;@gustavofruet;Gustavo Fruet;Gustavo Fruet;PDT;PDT;MDB / PDT / Solidariedade / PCdoB;113.252;;PARANÁ
220;@GustinhoRibeiro;Gustinho Ribeiro;Gustinho Ribeiro;Solidariedade;Solidariedade;Republicanos / Cidadania / PSC / PL / PTC / PSDB / Solidariedade;64.132;;SERGIPE
221;@guth_reis;Gutemberg Reis;Gutemberg Reis;MDB;MDB;DEM / MDB / PP / PTB;54.573;;RIO DE JANEIRO
222;@ze_haroldo;Haroldo Cathedral;Haroldo Cathedral;PSD;PSD;MDB / PSD / Solidariedade / DC;14.652;;RORAIMA
223;@HeitorFreireCE;Heitor Freire;Heitor Freire;PSL;PSL;DC / PSL;97.200;;CEARÁ
224;@HeitorSchuch;Heitor Schuch;Heitor Schuch;PSB;PSB;PSB / PL / Patriota;109.053;;RIO GRANDE DO SUL
225;@heldersalomao;Helder Salomão;Helder Salomão;PT;PT;PT;73.384;;ESPÍRITO SANTO
226;@HelioCosta15;Hélio Costa;Hélio Costa;Republicanos;Republicanos;Republicanos / PDT / PSC / DEM / PSB / PCdoB / Solidariedade;179.307;;SANTA CATARINA
227;@h_leite;Hélio Leite;Hélio Leite;DEM;DEM;PSDB / DEM / PSB / PDT / Solidariedade / Cidadania / PMN;102.491;;PARÁ
228;@depheliolopes;Hélio Lopes;Hélio Lopes;PSL;PSL;PSL;345.234;Suspenso por 1 ano de atividade partidária;RIO DE JANEIRO
229;@HenriqueFontana;Henrique Fontana;Henrique Fontana;PT;PT;PT;108.585;;RIO GRANDE DO SUL
230;@herciliodiniz;Hercílio Coelho Diniz;Hercílio Coelho Diniz;MDB;MDB;PDT / PV / Republicanos / MDB;117.328;;MINAS GERAIS
231;@herculanopassos;Herculano Passos;Herculano Passos;MDB;MDB;MDB;49.653;;SÃO PAULO
232;@HermesLaranja;Hermes Parcianello;Hermes Parcianello;MDB;MDB;MDB / PDT / Solidariedade / PCdoB;110.717;;PARANÁ
233;@hildorocha1513;Hildo Rocha;Hildo Rocha;MDB;MDB;MDB / PSC / PV / PSD / PRP / PMB;77.193;;MARANHÃO
234;@deputadohiran;Hiran Gonçalves;Hiran Gonçalves;PP;PP;PP / PDT / PCdoB / PODE;13.237;;RORAIMA
235;@depHugoLeal;Hugo Leal;Hugo Leal;PSD;PSD;PSD;63.561;;RIO DE JANEIRO
236;@HugoMottaPB;Hugo Motta;Hugo Motta;Republicanos;Republicanos;PSB / PTB / Republicanos / PT / DEM / PDT / PCdoB / PODE;92.468;;PARAÍBA
237;@IdilvanAlencar;Idilvan Alencar;Idilvan Alencar;PDT;PDT;PDT / PTB / DEM / PSB / PRP / PPL;154.325;;CEARÁ
238;@Igor_Kannario;Igor Kannário;Igor Kannário;DEM;DEM;PHS / Cidadania / PRTB / PSL;54.657;Eleito pelo PHS;BAHIA
239;@oficialigortimo;Igor Timo;Igor Timo;PODE;PODE;PODE;59.914;;MINAS GERAIS
240;@iracemaportela;Iracema Portela;Iracema Portela;PP;PP;MDB / PP / PTB / PCdoB / PL / PDT / PSD / PT;96.271;;PIAUÍ
241;@bulhoesjr;Isnaldo Bulhões;Isnaldo Bulhões;MDB;MDB;MDB / Cidadania / PDT / PL / PTB / PT / PRTB / PODE / PRP / PSD / PMN / Avante;71.847;;ALAGOAS
242;@IvanValente;Ivan Valente;Ivan Valente;PSOL;PSOL;PSOL / PCB;155.334;;SÃO PAULO
243;@jandira_feghali;Jandira Feghali;Jandira Feghali;PCdoB;PCdoB;PT / PCdoB;71.646;;RIO DE JANEIRO
244;@jqcassol;Jaqueline Cassol;Jaqueline Cassol;PP;PP;PDT / PSB / PDT / Solidariedade / PP / PL / DC / PTC / PT;34.193;;RONDÔNIA
245;@DepJefferson;Jefferson Campos;Jefferson Campos;PSB;PSB;PSB / PSC / Cidadania / PTB;99.974;;SÃO PAULO
246;@jeronimogoergen;Jerônimo Goergen;Jerônimo Goergen;PP;PP;PSDB / PTB / Republicanos / REDE / PP;89.707;;RIO GRANDE DO SUL
247;–;Jéssica Sales;Jéssica Sales;MDB;MDB;PP / PSDB / PSD / MDB / DEM / Solidariedade / PTC / PMN / PL / PTB / Cidadania;28.717;;ACRE
248;@jesussergioac;Jesus Sérgio;Jesus Sérgio;PDT;PDT;PDT;9.537;;ACRE
249;@JHC_40;JHC;JHC;PSB;PSB;PTC / PSDB / PP / PSB / PSC / PROS / Republicanos / DEM;178.645;;ALAGOAS
250;@DeputadoBacelar;João Bacelar;João Bacelar;PL;PL;PT / PCdoB / PP / PSB / PSD / PL / PODE;84.684;;BAHIA
251;@joaocamposdep;João Campos;João Campos;Republicanos;Republicanos;MDB / Republicanos / PP;102.111;;GOIÁS
252;@depjoaodanielpt;João Daniel;João Daniel;PT;PT;PP / MDB / DC / PCdoB / PSD / PT / PHS;59.933;;SERGIPE
253;@JoaoCampos;João Henrique Campos;João Henrique Campos;PSB;PSB;PSB / PCdoB / MDB / PSD;460.387;;PERNAMBUCO
254;@depjoaomaia;João Maia;João Maia;PL;PL;Republicanos / PTB / PL / Cidadania / PMB / PTC / PSDB / PSB / PSD / Avante / PROS;93.505;;RIO GRANDE DO NORTE
255;–;João Marcelo Souza;João Marcelo Souza;MDB;MDB;MDB / PSC / PV / PSD / PRP / PMB;67.019;;MARANHÃO
256;@joaoromaneto;João Roma;João Roma;Republicanos;Republicanos;DEM / Republicanos / PV;84.455;;BAHIA
257;@depjpassarinho;Joaquim Passarinho;Joaquim Passarinho;PSD;PSD;MDB / PSD / PL / PP / PTB / PSC / PSL / Republicanos / PMB / PHS / PODE;95.582;;PARÁ
258;@JoeniaWapichana;Joênia Wapichana;Joênia Wapichana;REDE;REDE;PTB / REDE / PV / PT;8.482;;RORAIMA
259;@jhonatan_djesus;Johnathan de Jesus;Johnathan de Jesus;Republicanos;Republicanos;PSL / Republicanos / PTC / PSC;13.380;;RORAIMA
260;@joicehasselmann;Joice Hasselmann;Joice Hasselmann;PSL;PSL;PSL;1.078.666;;SÃO PAULO
261;@Jorge_Braz;Jorge Braz;Jorge Braz;Republicanos;Republicanos;Republicanos;58.113;1º suplente, assumiu com a morte do titular Wagner Montes;RIO DE JANEIRO
262;@depjorgesolla;Jorge Solla;Jorge Solla;PT;PT;PT / PCdoB / PP / PSB / PSD / PL / PODE;135.657;;BAHIA
263;@JoseAirtonPT;José Airton;José Airton;PT;PT;PT / PCdoB / PP / PV / PL / PMN;74.099;;CEARÁ
264;@Schiavinato_;José Carlos Schiavinato;José Carlos Schiavinato;PP;PP;PP / PTB / DEM / PMN / PMB / PSB / PSDB / PROS;75.540;;PARANÁ
265;@guimaraes13PT;José Guimarães;José Guimarães;PT;PT;PT / PCdoB / PP / PV / PL / PMN;173.034;;CEARÁ
266;@JoseMedeirosMT;José Medeiros;José Medeiros;PODE;PODE;Republicanos / PP / PTB / PT / PMN / PODE / PROS / PL;82.528;;MATO GROSSO
267;@depjosenelto;José Nelto;José Nelto;PODE;PODE;DEM / PROS / PRP / PDT / PSC / PODE;61.809;;GOIÁS
268;@JoseNunesDep;José Nunes;José Nunes;PSD;PSD;PT / PCdoB / PP / PSB / PSD / PL / PODE;99.535;;BAHIA
269;@Priante15;José Priante;José Priante;MDB;MDB;MDB / PSD / PL / PP / PTB / PSC / PSL / Republicanos / PMB / PHS / PODE;154.647;;PARÁ
270;@ZeRicardoAM;José Ricardo;José Ricardo;PT;PT;PCdoB / PT;197.270;;AMAZONAS
271;@dep_joserocha;José Rocha;José Rocha;PL;PL;PT / PCdoB / PP / PSB / PSD / PL / PODE;83.222;;BAHIA
272;@josiasdavitoria;Josias da Vitória;Josias da Vitória;Cidadania;Cidadania;PP / PROS / Cidadania / PHS / PCdoB;74.787;;ESPÍRITO SANTO
273;@josiasgomesba;Josias Gomes;Josias Gomes;PT;PT;PT / PCdoB / PP / PSB / PSD / PL / PODE;115.571;Assumiu a Secretaria de Desenvolvimento Rural da Bahia, substituído por Paulo Magalhães (PSD);BAHIA
274;@josimarPL22;Josimar Maranhãozinho;Josimar Maranhãozinho;PL;PL;Patriota / PDT / PP / PL;194.671;;MARANHÃO
275;–;Juarez Costa;Juarez Costa;MDB;MDB;DEM / PDT / PSD / MDB / PMB;49.912;;MATO GROSSO
276;@LemosFederal;Julian Lemos;Julian Lemos;PSL;PSL;PSL / DC / PRTB;71.899;;PARAÍBA
277;@DepJulioCesarPI;Júlio Cesar;Júlio Cesar;PSD;PSD;MDB / PP / PTB / PCdoB / PL / PDT / PSD / PT;110.760;;PIAUÍ
278;@JulioCesarRib;Julio César Ribeiro;Julio César Ribeiro;Republicanos;Republicanos;Republicanos / PODE / Cidadania / Solidariedade / PSC / PSD;78.257;;DISTRITO FEDERAL
279;@depjuliodelgado;Júlio Delgado;Júlio Delgado;PSB;PSB;PT / PL / PSB / DC / PCdoB;58.291;;MINAS GERAIS
280;@JuninhodoPneu;Juninho do Pneu;Juninho do Pneu;DEM;DEM;DEM / MDB / PP / PTB;45.087;;RIO DE JANEIRO
281;@cabojunioamaral;Junio Amaral;Junio Amaral;PSL;PSL;PSL;156.604;Suspenso por 1 ano de atividade partidária;MINAS GERAIS
282;@bozzellajr;Junior Bozzella;Junior Bozzella;PSL;PSL;PSL;78.712;;SÃO PAULO
283;–;Júnior Ferrari;Júnior Ferrari;PSD;PSD;MDB / PSD / PL / PP / PTB / PSC / PSL / Republicanos / PMB / PHS / PODE;146.678;;PARÁ
284;–;Júnior Lourenço;Júnior Lourenço;PL;PL;Patriota / PDT / PP / PL;115.834;Licenciado do cargo, substituído por Paulo Marinho Júnior (PL);MARANHÃO
285;@JuniorManoDep;Júnior Mano;Júnior Mano;PL;PL;Cidadania / PRTB / Patriota;67.917;Eleito pelo Patriota;CEARÁ
286;@DepJuscelino;Juscelino Filho;Juscelino Filho;DEM;DEM;PCdoB / PTC / PSB / Republicanos / Avante / PROS / DEM / PPL / Cidadania / PTB / Solidariedade;95.837;;MARANHÃO
287;@kimpkat;Kim Kataguiri;Kim Kataguiri;DEM;DEM;PSDB / PSD / DEM / PP;465.310;;SÃO PAULO
288;@LaercioFederal;Laercio Oliveira;Laercio Oliveira;PP;PP;PP / MDB / DC / PCdoB / PSD / PT / PHS;68.014;;SERGIPE
289;@lafayetteandrad;Lafayette de Andrada;Lafayette de Andrada;Republicanos;Republicanos;PDT / PV / Republicanos / MDB;101.043;;MINAS GERAIS
290;@laurietecantora;Lauriete;Lauriete;PSC;PSC;PL / Republicanos / PSL;51.983;Eleita pelo PL;ESPÍRITO SANTO
291;@leandredaideal;Leandre Dal Ponte;Leandre Dal Ponte;PV;PV;PV;123.958;;PARANÁ
292;@LedaSadala;Leda Sadala;Leda Sadala;Avante;Avante;REDE / PPL / Avante / Solidariedade / PODE;11.301;;AMAPÁ
293;@Dep_LeoMoraes;Léo Moraes;Léo Moraes;PODE;PODE;MDB / PODE / PV;69.565;;RONDÔNIA
294;@leomotta_ofc;Léo Motta;Léo Motta;PSL;PSL;PSL;50.421;;MINAS GERAIS
295;@depleomonteiro;Leonardo Monteiro;Leonardo Monteiro;PT;PT;PT / PL / PSB / DC / PCdoB;65.760;;MINAS GERAIS
296;@joseleonidas;Leônidas Cristino;Leônidas Cristino;PDT;PDT;PDT / PTB / DEM / PSB / PRP / PPL;102.304;;CEARÁ
297;@LeurLomantoJr;Leur Lomanto Júnior;Leur Lomanto Júnior;DEM;DEM;DEM / Republicanos / PV;82.110;;BAHIA
298;@lidicedamata;Lídice da Mata;Lídice da Mata;PSB;PSB;PT / PCdoB / PP / PSB / PSD / PL / PODE;104.348;;BAHIA
299;@lincoln_portela;Lincoln Portela;Lincoln Portela;PL;PL;PT / PL / PSB / DC / PCdoB;104.628;;MINAS GERAIS
300;@LizianeBayer;Liziane Bayer;Liziane Bayer;PSB;PSB;PSB / PL / Patriota;52.977;;RIO GRANDE DO SUL
301;@LTrutis;Loester Trutis;Loester Trutis;PSL;PSL;Cidadania / PROS / Solidariedade / PSB / PTB / Avante / PSL / PMN;55.947;;MATO GROSSO DO SUL
302;@LourivalGomesrj;Lourival Gomes;Lourival Gomes;PSL;PSL;PSL;41.307;;RIO DE JANEIRO
303;@lucasvgonzalez;Lucas Gonzalez;Lucas Gonzalez;NOVO;NOVO;NOVO;63.740;;MINAS GERAIS
304;@LucasRedecker;Lucas Redecker;Lucas Redecker;PSDB;PSDB;PSDB / PTB / Republicanos / REDE / PP;114.346;;RIO GRANDE DO SUL
305;@VergilioLucas77;Lucas Vergílio;Lucas Vergílio;Solidariedade;Solidariedade;PSDB / PL / PSB / Cidadania / Solidariedade / PTB / PSD;78.431;;GOIÁS
306;@Bivar1717;Luciano Bivar;Luciano Bivar;PSL;PSL;PSL / PRTB / PHS / PV;117.943;;PERNAMBUCO
307;@LucianoDucci;Luciano Ducci;Luciano Ducci;PSB;PSB;PP / PTB / DEM / PMN / PMB / PSB / PSDB / PROS;98.214;;PARANÁ
308;@luciomosquini;Lucio Mosquini;Lucio Mosquini;MDB;MDB;MDB / PODE / PV;38.630;;RONDÔNIA
309;@LuisMirandaUSA1;Luis Miranda;Luis Miranda;DEM;DEM;PSDB / PL / DEM;64.042;;DISTRITO FEDERAL
310;@LuisTibeOficial;Luis Tibé;Luis Tibé;Avante;Avante;Avante;50.185;;MINAS GERAIS
311;@luisa_canziani;Luisa Canziani;Luisa Canziani;PTB;PTB;PP / PTB / DEM / PMN / PMB / PSB / PSDB / PROS;90.249;;PARANÁ
312;@drluizantoniojr;Luiz Antônio Corrêa;Luiz Antônio Corrêa;PL;PL;PV / DC;50.284;Eleito pelo DC;RIO DE JANEIRO
313;@DepLuizCarlos;Luiz Carlos;Luiz Carlos;PSDB;PSDB;DEM / PSDB / PP / PSC / PSD / Patriota;14.069;;AMAPÁ
314;@lcm_motta;Luiz Carlos Motta;Luiz Carlos Motta;PL;PL;PL;75.218;;SÃO PAULO
315;@professorLFG;Luiz Flávio Gomes;Luiz Flávio Gomes;PSB;PSB;PSB / PSC / Cidadania / PTB;86.433;Falecido;SÃO PAULO
316;@luizlaurofilho;Luiz Lauro Filho;Luiz Lauro Filho;PSDB;PSDB;PSB / PSC / Cidadania / PTB;86.433;Falecido;SÃO PAULO
317;@Oficialluizlima;Luiz Lima;Luiz Lima;PSL;PSL;PSL;115.119;;RIO DE JANEIRO
318;@LuizNishimori;Luiz Nishimori;Luiz Nishimori;PL;PL;PSD / PSC / PL / Cidadania / PODE;73.344;;PARANÁ
319;@lpbragancabr;Luiz Philippe de Orléans e Bragança;Luiz Philippe de Orléans e Bragança;PSL;PSL;PSL;118.457;;SÃO PAULO
320;@luizaerundina;Luiza Erundina;Luiza Erundina;PSOL;PSOL;PSOL / PCB;176.883;;SÃO PAULO
321;@luizaogoulart;Luizão Goulart;Luizão Goulart;Republicanos;Republicanos;Republicanos / PHS / Avante;141.730;;PARANÁ
322;@Luizianne13PT;Luizianne Lins;Luizianne Lins;PT;PT;PT / PCdoB / PP / PV / PL / PMN;173.765;;CEARÁ
323;@Magdamofatto;Magda Mofatto;Magda Mofatto;PL;PL;PSDB / PL / PSB / Cidadania / Solidariedade / PTB / PSD;83.420;;GOIÁS
324;@majorfabianadep;Major Fabiana;Major Fabiana;PSL;PSL;PSL;57.611;;RIO DE JANEIRO
325;@PrManuelMarcos;Manuel Marcos;Manuel Marcos;Republicanos;Republicanos;PSOL / PV / PPL / PRP / Republicanos / PODE / PROS / PMB;7.489;;ACRE
326;@mararocha4545;Mara Rocha;Mara Rocha;PSDB;PSDB;PP / PSDB / PSD / MDB / DEM / Solidariedade / PTC / PMN / PL / PTB / Cidadania;40.047;;ACRE
327;@marcelvanhattem;Marcel van Hattem;Marcel van Hattem;NOVO;NOVO;NOVO;349.855;;RIO GRANDE DO SUL
328;@Marceloalvaroan;Marcelo Álvaro Antônio;Marcelo Álvaro Antônio;PSL;PSL;PSL;228.227;Assumiu o Ministério do Turismo, substituído por Eneias Reis (PSL);MINAS GERAIS
329;@marceloaro;Marcelo Aro;Marcelo Aro;PP;PP;PHS / PRP;102.678;Eleito pelo PHS;MINAS GERAIS
330;@caleromarcelo;Marcelo Calero;Marcelo Calero;Cidadania;Cidadania;Solidariedade / PSDB / Cidadania;50.533;;RIO DE JANEIRO
331;@MarceloFreixo;Marcelo Freixo;Marcelo Freixo;PSOL;PSOL;PSOL / PCB;342.491;;RIO DE JANEIRO
332;–;Marcelo Moraes;Marcelo Moraes;PTB;PTB;PSDB / PTB / Republicanos / REDE / PP;69.904;;RIO GRANDE DO SUL
333;@depmarcelonilo;Marcelo Nilo;Marcelo Nilo;PSB;PSB;PT / PCdoB / PP / PSB / PSD / PL / PODE;115.277;;BAHIA
334;@marceloramosam;Marcelo Ramos;Marcelo Ramos;PL;PL;PDT / PP / PV / PL / Solidariedade / PTB / PHS / PSL;106.805;;AMAZONAS
335;@AlvinoMarcio;Márcio Alvino;Márcio Alvino;PL;PL;PL;135.844;;SÃO PAULO
336;@marciobiolchi;Márcio Biolchi;Márcio Biolchi;MDB;MDB;MDB;100.362;;RIO GRANDE DO SUL
337;@marciojerry;Márcio Jerry;Márcio Jerry;PCdoB;PCdoB;PCdoB / PTC / PSB / Republicanos / Avante / PROS / DEM / PPL / Cidadania / PTB / Solidariedade;134.106;;MARANHÃO
338;@marciolabre;Márcio Labre;Márcio Labre;PSL;PSL;PSL;46.934;Suspenso por 1 ano de atividade partidária;RIO DE JANEIRO
339;@dpmarciomarinho;Márcio Marinho;Márcio Marinho;Republicanos;Republicanos;DEM / Republicanos / PV;94.905;;BAHIA
340;@MarcoBertaiolli;Marco Bertaiolli;Marco Bertaiolli;PSD;PSD;PSDB / PSD / DEM / PP;137.628;;SÃO PAULO
341;@MarcosA_Sampaio;Marcos Aurélio Sampaio;Marcos Aurélio Sampaio;MDB;MDB;MDB / PP / PTB / PCdoB / PL / PDT / PSD / PT;73.295;;PIAUÍ
342;@marcospereira04;Marcos Pereira;Marcos Pereira;Republicanos;Republicanos;Republicanos;139.165;;SÃO PAULO
343;@MargaretCoelho;Margarete Coelho;Margarete Coelho;PP;PP;MDB / PP / PTB / PCdoB / PL / PDT / PSD / PT;76.246;;PIAUÍ
344;@JFMargarida;Margarida Salomão;Margarida Salomão;PT;PT;PT / PL / PSB / DC / PCdoB;89.315;;MINAS GERAIS
345;@mariadorosario;Maria do Rosário;Maria do Rosário;PT;PT;PT;97.303;;RIO GRANDE DO SUL
346;@mariarosassp;Maria Rosas;Maria Rosas;Republicanos;Republicanos;Republicanos;71.745;;SÃO PAULO
347;@DeputadaMariana;Mariana Carvalho;Mariana Carvalho;PSDB;PSDB;PSDB / DEM / PSD / Republicanos / Patriota;38.776;;RONDÔNIA
348;@MariliaArraes;Marília Arraes;Marília Arraes;PT;PT;PT;193.108;;PERNAMBUCO
349;–;Marina Santos;Marina Santos;Solidariedade;Solidariedade;PMN / Republicanos / Solidariedade / PPL / PTC;70.828;Eleita pelo PTC;PIAUÍ
350;@mario_heringer;Mário Heringer;Mário Heringer;PDT;PDT;PDT / PV / Republicanos / MDB;87.417;;MINAS GERAIS
351;@depnegromontejr;Mário Negromonte Júnior;Mário Negromonte Júnior;PP;PP;PT / PCdoB / PP / PSB / PSD / PL / PODE;102.512;;BAHIA
352;@deputado_marlon;Marlon Santos;Marlon Santos;PDT;PDT;PDT / PMB / PV;116.483;;RIO GRANDE DO SUL
353;@depmarrecafilho;Marreca Filho;Marreca Filho;Patriota;Patriota;Patriota / PDT / PP / PL;79.467;;MARANHÃO
354;@marxbeltrao;Marx Beltrão;Marx Beltrão;PSD;PSD;MDB / Cidadania / PDT / PL / PTB / PT / PRTB / PODE / PRP / PSD / PMN / Avante;139.458;;ALAGOAS
355;@mauricioptbrs;Maurício Dziedricki;Maurício Dziedricki;PTB;PTB;PSDB / PTB / Republicanos / REDE / PP;83.617;;RIO GRANDE DO SUL
356;@mauro_bfilho;Mauro Benevides Filho;Mauro Benevides Filho;PDT;PDT;PDT / PTB / DEM / PSB / PRP / PPL;157.427;;CEARÁ
357;@depmaurolopes;Mauro Lopes;Mauro Lopes;MDB;MDB;PDT / PV / Republicanos / MDB;58.243;;MINAS GERAIS
358;@drmauronazif;Mauro Nazif;Mauro Nazif;PSB;PSB;PDT / PSB / PDT / Solidariedade / PP / PL / DC / PTC / PT;30.399;;RONDÔNIA
359;@MerlongSolano;Merlong Solano;Merlong Solano;PT;PT;MDB / PP / PTB / PCdoB / PL / PDT / PSD / PT;129.529;1º suplente, assumiu com a morte do titular Assis Carvalho;PIAUÍ
360;@Dmiguellombardi;Miguel Lombardi;Miguel Lombardi;PL;PL;PL;93.093;;SÃO PAULO
361;@MiltonVieiraOfc;Milton Vieira;Milton Vieira;Republicanos;Republicanos;Republicanos;77.413;;SÃO PAULO
362;@Lael_Varella;Misael Varella;Misael Varella;PSD;PSD;PSDB / PSD / Solidariedade / Cidadania / DEM / PP;126.683;;MINAS GERAIS
363;@DepFederalMoses;Moses Rodrigues;Moses Rodrigues;MDB;MDB;MDB / PHS / Avante / Solidariedade / PSC / PSD / PODE / Republicanos;128.493;;CEARÁ
364;@natbonavides;Natália Bonavides;Natália Bonavides;PT;PT;PT / PCdoB / PHS;112.998;;RIO GRANDE DO NORTE
365;@nelsonbarbudo;Nelson Barbudo;Nelson Barbudo;PSL;PSL;PSL / Patriota / PRP;126.249;;MATO GROSSO
366;@nelsonpelegrino;Nelson Pelegrino;Nelson Pelegrino;PT;PT;PT / PCdoB / PP / PSB / PSD / PL / PODE;101.476;;BAHIA
367;@nereucrispim;Nereu Crispim;Nereu Crispim;PSL;PSL;DEM / PROS / PSL;32.200;;RIO GRANDE DO SUL
368;@NeriGeller;Neri Geller;Neri Geller;PP;PP;Republicanos / PP / PTB / PT / PMN / PODE / PROS / PL;73.072;;MATO GROSSO
369;@newton1510;Newton Cardoso Júnior;Newton Cardoso Júnior;MDB;MDB;PDT / PV / Republicanos / MDB;69.208;;MINAS GERAIS
370;@neyleprevost;Ney Leprevost;Ney Leprevost;PSD;PSD;PSD / PSC / PL / Cidadania / PODE;92.399;;PARANÁ
371;@depnicoletti;Nicoletti;Nicoletti;PSL;PSL;PSL / Republicanos / PTC / PSC;12.884;;RORAIMA
372;@DepNilsonPinto;Nilson Pinto;Nilson Pinto;PSDB;PSDB;PSDB / DEM / PSB / PDT / Solidariedade / Cidadania / PMN;148.971;;PARÁ
373;@NiltoTatto;Nilto Tatto;Nilto Tatto;PT;PT;PT / PCdoB;124.281;;SÃO PAULO
374;@NivaldoAlbuque;Nivaldo Albuquerque;Nivaldo Albuquerque;PTB;PTB;MDB / Cidadania / PDT / PL / PTB / PT / PRTB / PODE / PRP / PSD / PMN / Avante;84.956;;ALAGOAS
375;–;Norma Ayub;Norma Ayub;DEM;DEM;PDT / DEM / PSD / PSDB / PRP / SD;57.156;;ESPÍRITO SANTO
376;@odaircunhamg;Odair Cunha;Odair Cunha;PT;PT;PT / PL / PSB / DC / PCdoB;87.780;;MINAS GERAIS
377;@OLIVALMARQUES;Olival Marques;Olival Marques;DEM;DEM;PSDB / DEM / PSB / PDT / Solidariedade / Cidadania / PMN;135.359;;PARÁ
378;@onyxlorenzoni;Onyx Lorenzoni;Onyx Lorenzoni;DEM;DEM;DEM / PROS / PSL;183.518;Assumiu o Ministério da Cidadania, substituído por Marcelo Brum (PSL);RIO GRANDE DO SUL
379;@orlandosilva;Orlando Silva;Orlando Silva;PCdoB;PCdoB;PT / PCdoB;64.822;;SÃO PAULO
380;@OrDamaso;Osires Damaso;Osires Damaso;PSC;PSC;PSB / PSDB / PL / PODE / MDB / PSC;58.726;;TOCANTINS
381;@OsmarTerra;Osmar Terra;Osmar Terra;MDB;MDB;MDB;86.305;;RIO GRANDE DO SUL
